condition,seed,learning_rate,epochs,test_balanced_accuracy,test_f1,test_accuracy,test_TP,test_FP,test_TN,test_FN,test_false_positive_rate,test_false_negative_rate,dev_balanced_accuracy,test_novel_balanced_accuracy,guided_dev_balanced_accuracy_reference_only,blank_false_firing_rate,clipping_fraction,weight_l2_norm,E_mean_l2_test,I_mean_l2_test,n_never_active_test,n_no_positive_target_test,elapsed_sec
frozen,42,0.05,5,0.5003503300587349,0.001644736842105263,0.970361328125,1,5,39745,1209,0.00012578616352201257,0.9991735537190083,0.4999747627700384,0.4999504827927705,,0.0,,7.389060083370068,0.31335162477328404,0.31134378450543754,253,3,2.7027065753936768
correction_only,42,0.05,5,0.5003503300587349,0.001644736842105263,0.970361328125,1,5,39745,1209,0.00012578616352201257,0.9991735537190083,0.4999747627700384,0.4999504827927705,1.0,0.0,,7.389060083370068,0.31335162477328404,0.31134378450543754,253,3,5.718625783920288
local_learning,42,0.1,5,0.7298944851603514,0.4856175972927242,0.9703125,574,580,39170,636,0.01459119496855346,0.5256198347107438,0.7088637685259402,0.6929755063568801,1.0,0.0,0.01393087499825864,7.4834777585200385,0.3670795689403858,0.2655613985365246,46,3,4.759800672531128
shuffled_teacher,42,0.05,5,0.5222016736836634,0.07822533566841798,0.9614501953125,67,436,39314,1143,0.010968553459119497,0.9446280991735537,0.531671061269345,0.520110067195719,1.0,0.0,0.018185133049539542,7.6271288219127,0.35970217925414594,0.27582617296289913,121,3,4.624770879745483
