condition,seed,learning_rate,epochs,test_balanced_accuracy,test_f1,test_accuracy,test_TP,test_FP,test_TN,test_FN,test_false_positive_rate,test_false_negative_rate,dev_balanced_accuracy,test_novel_balanced_accuracy,guided_dev_balanced_accuracy_reference_only,blank_false_firing_rate,clipping_fraction,weight_l2_norm,E_mean_l2_test,I_mean_l2_test,n_never_active_test,n_no_positive_target_test,elapsed_sec
frozen,42,0.05,5,0.5003503300587349,0.001644736842105263,0.970361328125,1,5,39745,1209,0.00012578616352201257,0.9991735537190083,0.4999747627700384,0.4999504827927705,,0.0,,7.389060083370068,0.31335162477328404,0.31134378450543754,253,3,2.4200003147125244
correction_only,42,0.05,5,0.5003503300587349,0.001644736842105263,0.970361328125,1,5,39745,1209,0.00012578616352201257,0.9991735537190083,0.4999747627700384,0.4999504827927705,1.0,0.0,,7.389060083370068,0.31335162477328404,0.31134378450543754,253,3,5.782256126403809
local_learning,42,0.05,5,0.705772857217111,0.43419949706621963,0.967041015625,518,658,39092,692,0.016553459119496856,0.571900826446281,0.6949112072644535,0.671576254327326,1.0,0.0,0.015334714083207109,7.4653359876356475,0.36689803135859406,0.2630919161653263,45,3,4.757182359695435
shuffled_teacher,42,0.05,5,0.5222016736836634,0.07822533566841798,0.9614501953125,67,436,39314,1143,0.010968553459119497,0.9446280991735537,0.531671061269345,0.520110067195719,1.0,0.0,0.018185133049539542,7.6271288219127,0.35970217925414594,0.27582617296289913,121,3,4.828817129135132
