trial_id,tick,phase,neuron_id,neuron_name,connection_id,pre_id,pre_name,kind,received_value,weight_used,signed_contribution,weight_version
diag/0,2,free,1004,L2/ori0/k7/j11,16043,439,INH/OFF/k6/j13,inhibitory,1.0,0.005072333480990887,-0.005072333480990887,892
diag/0,2,free,1004,L2/ori0/k7/j11,16044,420,L4/ON/k6/j9,excitatory,1.0,0.05749651255998827,0.05749651255998827,892
diag/0,2,free,1004,L2/ori0/k7/j11,16045,421,INH/ON/k6/j9,inhibitory,1.0,0.04870912055965542,-0.04870912055965542,892
diag/0,2,free,1004,L2/ori0/k7/j11,16046,422,L4/OFF/k6/j9,excitatory,1.0,0.07781414910437062,0.07781414910437062,892
diag/0,2,free,1004,L2/ori0/k7/j11,16047,423,INH/OFF/k6/j9,inhibitory,1.0,0.0547766549703975,-0.0547766549703975,892
diag/0,2,free,1004,L2/ori0/k7/j11,16062,374,L4/OFF/k5/j13,excitatory,1.0,0.054168839111226434,0.054168839111226434,892
diag/0,2,free,1004,L2/ori0/k7/j11,16063,375,INH/OFF/k5/j13,inhibitory,1.0,0.01578719108473501,-0.01578719108473501,892
diag/0,2,free,1006,L2/ori90/k7/j11,16064,492,L4/ON/k7/j11,excitatory,1.0,0.06395344352808334,0.06395344352808334,892
diag/0,2,free,1006,L2/ori90/k7/j11,16065,493,INH/ON/k7/j11,inhibitory,1.0,0.03829413099575308,-0.03829413099575308,892
diag/0,2,free,1006,L2/ori90/k7/j11,16066,494,L4/OFF/k7/j11,excitatory,1.0,0.07867373588671253,0.07867373588671253,892
diag/0,2,free,1006,L2/ori90/k7/j11,16067,495,INH/OFF/k7/j11,inhibitory,1.0,0.06867597050504888,-0.06867597050504888,892
diag/0,2,free,1006,L2/ori90/k7/j11,16068,428,L4/ON/k6/j11,excitatory,1.0,0.06348343746447116,0.06348343746447116,892
diag/0,2,free,1006,L2/ori90/k7/j11,16069,429,INH/ON/k6/j11,inhibitory,1.0,0.0029411764697231833,-0.0029411764697231833,892
diag/0,2,free,1006,L2/ori90/k7/j11,16070,430,L4/OFF/k6/j11,excitatory,1.0,0.097013157371416,0.097013157371416,892
diag/0,2,free,1006,L2/ori90/k7/j11,16071,431,INH/OFF/k6/j11,inhibitory,1.0,0.057564904529118464,-0.057564904529118464,892
diag/0,2,free,1006,L2/ori90/k7/j11,16072,488,L4/ON/k7/j10,excitatory,1.0,0.07137453082134387,0.07137453082134387,892
diag/0,2,free,1006,L2/ori90/k7/j11,16073,489,INH/ON/k7/j10,inhibitory,1.0,0.06406726795975774,-0.06406726795975774,892
diag/0,2,free,1006,L2/ori90/k7/j11,16074,490,L4/OFF/k7/j10,excitatory,1.0,0.09097089773844354,0.09097089773844354,892
diag/0,2,free,1006,L2/ori90/k7/j11,16075,491,INH/OFF/k7/j10,inhibitory,1.0,0.00919389977996516,-0.00919389977996516,892
diag/0,2,free,1006,L2/ori90/k7/j11,16076,496,L4/ON/k7/j12,excitatory,1.0,0.06678462896311704,0.06678462896311704,892
diag/0,2,free,1006,L2/ori90/k7/j11,16077,497,INH/ON/k7/j12,inhibitory,1.0,0.06400852031275625,-0.06400852031275625,892
diag/0,2,free,1006,L2/ori90/k7/j11,16078,498,L4/OFF/k7/j12,excitatory,1.0,0.0822286970243955,0.0822286970243955,892
diag/0,2,free,1006,L2/ori90/k7/j11,16079,499,INH/OFF/k7/j12,inhibitory,1.0,0.025515826944079653,-0.025515826944079653,892
diag/0,2,free,1006,L2/ori90/k7/j11,16080,424,L4/ON/k6/j10,excitatory,1.0,0.10797257102532007,0.10797257102532007,892
diag/0,2,free,1006,L2/ori90/k7/j11,16081,425,INH/ON/k6/j10,inhibitory,1.0,0.07794724532635346,-0.07794724532635346,892
diag/0,2,free,1006,L2/ori90/k7/j11,16082,426,L4/OFF/k6/j10,excitatory,1.0,0.08857857193278174,0.08857857193278174,892
diag/0,2,free,1006,L2/ori90/k7/j11,16083,427,INH/OFF/k6/j10,inhibitory,1.0,0.10036373731228865,-0.10036373731228865,892
diag/0,2,free,1006,L2/ori90/k7/j11,16084,432,L4/ON/k6/j12,excitatory,1.0,0.024921273309016466,0.024921273309016466,892
diag/0,2,free,1006,L2/ori90/k7/j11,16085,433,INH/ON/k6/j12,inhibitory,1.0,0.06883784496131418,-0.06883784496131418,892
diag/0,2,free,1006,L2/ori90/k7/j11,16086,434,L4/OFF/k6/j12,excitatory,1.0,0.08469489242108977,0.08469489242108977,892
diag/0,2,free,1006,L2/ori90/k7/j11,16087,435,INH/OFF/k6/j12,inhibitory,1.0,0.056424441496529934,-0.056424441496529934,892
diag/0,2,free,1006,L2/ori90/k7/j11,16088,364,L4/ON/k5/j11,excitatory,1.0,0.10199833244946745,0.10199833244946745,892
diag/0,2,free,1006,L2/ori90/k7/j11,16089,365,INH/ON/k5/j11,inhibitory,1.0,0.045523120890800454,-0.045523120890800454,892
diag/0,2,free,1006,L2/ori90/k7/j11,16090,366,L4/OFF/k5/j11,excitatory,1.0,0.08116621333021921,0.08116621333021921,892
diag/0,2,free,1006,L2/ori90/k7/j11,16091,367,INH/OFF/k5/j11,inhibitory,1.0,0.014672865434986061,-0.014672865434986061,892
diag/0,2,free,1006,L2/ori90/k7/j11,16094,362,L4/OFF/k5/j10,excitatory,1.0,0.021938600918762027,0.021938600918762027,892
diag/0,2,free,1006,L2/ori90/k7/j11,16095,363,INH/OFF/k5/j10,inhibitory,1.0,0.02481657379880268,-0.02481657379880268,892
diag/0,2,free,1006,L2/ori90/k7/j11,16096,368,L4/ON/k5/j12,excitatory,1.0,0.08181046679174894,0.08181046679174894,892
diag/0,2,free,1006,L2/ori90/k7/j11,16097,369,INH/ON/k5/j12,inhibitory,1.0,0.06292971119712648,-0.06292971119712648,892
diag/0,2,free,1006,L2/ori90/k7/j11,16098,370,L4/OFF/k5/j12,excitatory,1.0,0.0737697816462297,0.0737697816462297,892
diag/0,2,free,1006,L2/ori90/k7/j11,16099,371,INH/OFF/k5/j12,inhibitory,1.0,0.023491957025670845,-0.023491957025670845,892
diag/0,2,free,1006,L2/ori90/k7/j11,16104,436,L4/ON/k6/j13,excitatory,1.0,0.036687258898681484,0.036687258898681484,892
diag/0,2,free,1006,L2/ori90/k7/j11,16105,437,INH/ON/k6/j13,inhibitory,1.0,0.08529836187724861,-0.08529836187724861,892
